factor,votes,is_must
x_liquidity_indicator,3,False
x_price_impact,3,False
x_open_interest,3,False
x_price_ma250_dev,3,False
x_boll_lower,3,False
x_kurtosis,3,False
x_market_depth_imbalance,2,False
x_stoch_k,2,False
x_volatility_ratio,2,False
x_price_volume_trend,2,False
x_kyle_lambda_lag,1,False
x_volume_acceleration,1,False
x_spread_8h,1,False
x_ma_bar_ret,1,False
x_skewness,1,False
x_p_ret_20h,1,False
x_momentum_20d,1,False
x_ma_ret_1h,1,False
x_volume_momentum,1,False
x_volume_ma_ratio,1,False
