bar_idx,time,inter_short,w_short_1h,icir_1h,w_short_2h,icir_2h,inter_mid,w_mid_4h,icir_4h,w_mid_6h,icir_6h,inter_long,w_long_8h,icir_8h,w_long_12h,icir_12h
2000,2019-09-11 10:40:00,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0
3000,2020-06-15 14:55:00,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0
4000,2021-03-03 14:55:00,0.4828,0.2936,0.8197,0.1892,0.5283,0.313,0.1652,0.4813,0.1478,0.4306,0.2042,0.2042,0.2983,0.0,0.0022
5000,2021-11-17 14:10:00,0.3881,0.199,0.3988,0.1891,0.379,0.4388,0.2475,0.4883,0.1913,0.3774,0.1731,0.1731,0.1735,0.0,0.1514
6000,2022-08-03 10:40:00,0.0644,0.0,0.0025,0.0644,0.0283,0.32,0.32,0.1405,0.0,0.0025,0.6156,0.0,0.1066,0.6156,0.2703
7000,2023-04-19 21:35:00,0.1064,0.1064,0.029,0.0,0.0181,0.3884,0.0,0.0118,0.3884,0.1058,0.5052,0.5052,0.1376,0.0,0.0843
8000,2024-01-03 14:10:00,0.3897,0.0,0.0201,0.3897,0.1395,0.3403,0.3403,0.1219,0.0,0.0708,0.27,0.0,0.0252,0.27,0.0967
9000,2024-09-20 10:40:00,0.4622,0.2338,0.3959,0.2284,0.3867,0.2811,0.2811,0.238,0.0,0.1167,0.2567,0.0,0.015,0.2567,0.2174
10000,2025-06-13 11:25:00,0.5588,0.3121,0.5914,0.2467,0.4674,0.2875,0.2875,0.2761,0.0,0.109,0.1537,0.0,0.0215,0.1537,0.1476
